date,open,high,low,last,close,vol,count,value
20110309,189.06,189,189,189.06,189.06,64850000,650,162125000000.00
20110312,196.62,197,197,196.62,189.21,13502,9,35105200.00
20110313,196.78,197,197,196.78,189.74,48021,22,124950642.00
20110314,197.31,197,197,197.31,189.89,15690,8,40935210.00
20110315,197.46,197,197,197.46,190.05,11100,4,28982100.00
20110316,197.61,198,198,197.61,190.27,20300,4,53043900.00
20110319,205.47,214,205,213.64,213.64,147200,28,415780600.00
20110326,222.19,222,222,222.19,213.79,11899,5,34959262.00
20110327,222.34,222,222,222.34,222.34,673640,36,1980501600.00
20110328,231.18,231,231,231.18,231.18,700000,21,2139900000.00
20110329,240.41,240,240,240.41,240.41,700000,15,2225300000.00
20110330,250.02,250,250,250.02,250.02,651500,26,2153859000.00
20110403,260.00,260,260,260.00,260.00,21501,7,73920438.00
20110404,280.79,292,281,291.99,291.76,104911,10,404763743.00
20110405,303.41,303,303,303.41,303.41,700000,28,2808400000.00
20110406,315.51,316,316,315.51,315.51,690400,34,2880348800.00
20110409,328.06,328,328,328.06,328.06,700000,49,3036600000.00
20110410,341.14,341,341,341.14,341.14,800000,44,3608800000.00
20110411,354.76,355,355,354.76,354.76,706200,40,3312784200.00
20110412,383.12,398,383,398.39,398.01,2132859,471,11226126028.00
20110413,413.89,414,405,413.89,413.44,62360303,13034,340914645937.00
20110416,418.96,423,397,396.95,403.38,11013009,2265,58742522572.00
20110417,387.27,387,387,387.27,387.27,2032354,314,10407684834.00
20110418,371.85,372,372,371.85,371.85,17005101,1824,83614081617.00
20110419,370.03,378,357,357.02,363.68,5449265,1069,26207160586.00
20110420,357.02,360,349,349.16,353.32,4735175,1057,22121348858.00
20110423,341.82,344,339,339.25,340.31,2702921,317,12161973705.00
20110424,326.70,327,327,326.70,326.70,1374683,77,5938630560.00
20110425,313.69,314,314,313.69,313.69,1652887,142,6856175276.00
20110426,310.06,325,303,304.09,310.06,6869831,1338,28166135481.00
20110427,303.63,317,298,310.06,300.91,6774056,764,26955000180.00
20110430,290.78,291,289,288.89,296.75,234811,33,898504906.00
20110501,284.95,285,285,284.95,287.98,484862,32,1826960016.00
20110502,299.47,299,296,296.45,299.32,2075592,359,8215815840.00
20110503,308.55,309,287,288.96,290.17,3659532,528,14043391468.00
20110504,294.71,295,279,290.47,287.22,2621634,435,9956188111.00
20110508,285.11,287,276,275.80,277.01,3497682,285,12811587260.00
20110509,284.80,288,281,288.05,285.18,531565,125,2017807578.00
20110510,296.52,297,287,291.99,295.09,1590996,210,6207574366.00
20110511,294.18,294,284,288.13,287.83,693709,175,2640509508.00
20110514,285.11,285,278,279.13,287.53,29704,15,110618450.00
20110515,287.15,287,280,281.32,281.40,649760,173,2417632935.00
20110516,287.53,293,280,283.74,285.86,711150,252,2687865138.00
20110517,279.89,281,275,274.59,276.26,1784236,270,6517237704.00
20110518,275.27,284,275,283.21,278.53,550400,156,2030211812.00
20110521,286.54,290,280,289.64,288.58,5316569,328,20286441000.00
20110522,299.47,300,292,296.37,297.28,4680445,542,18397379234.00
20110523,297.21,298,288,297.21,294.63,1393349,175,5429129439.00
