time,last,close,open,high,low,count,volume,value,discarded
64615,8020,7980,0,0,0,0,0,0,0
90018,7860,7980,7860,7860,7860,1,120000,943200000,0
90018,7860,7980,7860,7860,7860,2,196868,1547382480,0
90018,7860,7980,7860,7860,7860,3,227508,1788212880,0
90018,7860,7980,7860,7860,7860,4,237508,1866812880,0
90018,7860,7980,7860,7860,7860,5,247508,1945412880,0
90018,7860,7980,7860,7860,7860,6,256516,2016215760,0
90018,7860,7980,7860,7860,7860,7,264061,2075519460,0
90018,7860,7980,7860,7860,7860,8,266994,2098572840,0
90018,7860,7980,7860,7860,7860,9,269491,2118199260,0
90018,7860,7980,7860,7860,7860,10,271623,2134956780,0
90018,7860,7980,7860,7860,7860,11,273530,2149945800,0
90018,7860,7980,7860,7860,7860,12,274788,2159833680,0
90018,7860,7980,7860,7860,7860,13,275716,2167127760,0
90018,7860,7980,7860,7860,7860,14,276371,2172276060,0
90018,7860,7980,7860,7860,7860,15,276991,2177149260,0
90018,7860,7980,7860,7860,7860,16,277517,2181283620,0
90018,7860,7980,7860,7860,7860,17,277837,2183798820,0
90018,7860,7980,7860,7860,7860,18,277930,2184529800,0
90018,7860,7980,7860,7860,7860,19,277986,2184969960,0
90018,7860,7980,7860,7860,7860,20,278003,2185103580,0
90018,7860,7980,7860,7860,7860,21,278016,2185205760,0
90018,7860,7980,7860,7860,7860,22,278019,2185229340,0
90054,8000,7980,7860,8000,7860,23,278669,2190429340,0
90119,8000,7980,7860,8000,7860,24,279869,2200029340,0
90121,7920,7980,7860,8000,7860,25,284204,2234362540,0
90125,7920,7980,7860,8000,7860,26,290804,2286634540,0
90140,7930,7980,7860,8000,7860,27,291470,2291915920,0
90141,7930,7980,7860,8000,7860,28,292726,2301876000,0
90148,7930,7980,7860,8000,7860,29,302516,2379510700,0
90150,7930,7980,7860,8000,7860,30,303516,2387440700,0
90153,7930,7980,7860,8000,7860,31,309516,2435020700,0
90156,7930,7980,7860,8000,7860,32,311016,2446915700,0
90202,7930,7980,7860,8000,7860,33,340804,2683134540,0
90205,7920,7980,7860,8000,7860,34,342145,2693755260,0
90221,8000,7980,7860,8000,7860,35,342845,2699355260,0
90255,8000,7980,7860,8000,7860,36,346745,2730555260,0
90313,8000,7980,7860,8000,7860,37,351745,2770555260,0
90320,8000,7980,7860,8000,7860,38,354235,2790475260,0
90327,7960,7980,7860,8000,7860,39,358664,2825730100,0
90327,7960,7980,7860,8000,7860,40,363664,2865530100,0
90327,7950,7980,7860,8000,7860,41,368664,2905280100,0
90327,7950,7980,7860,8000,7860,42,372433,2935243650,0
90327,7930,7980,7860,8000,7860,43,373433,2943173650,0
90327,7930,7980,7860,8000,7860,44,413433,3260373650,0
90327,7930,7980,7860,8000,7860,45,418433,3300023650,0
90327,7920,7980,7860,8000,7860,46,426157,3361197730,0
90327,7920,7980,7860,8000,7860,47,504235,3979575490,0
90349,7960,7980,7860,8000,7860,48,504938,3985171370,0
90358,7960,7980,7860,8000,7860,49,505125,3986659890,0
90358,7960,7980,7860,8000,7860,50,506125,3994619890,0
90403,7930,7980,7860,8000,7860,51,509125,4018409890,0
90403,7930,7980,7860,8000,7860,52,511125,4034269890,0
90411,7930,7980,7860,8000,7860,53,514125,4058059890,0
90411,7930,7980,7860,8000,7860,54,515125,4065989890,0
90411,7920,7980,7860,8000,7860,55,547047,4318812130,0
90411,7920,7980,7860,8000,7860,56,550847,4348908130,0
90411,7920,7980,7860,8000,7860,57,551847,4356828130,0
90411,7920,7980,7860,8000,7860,58,556847,4396428130,0
90411,7920,7980,7860,8000,7860,59,615125,4857989890,0
90414,7930,7980,7860,8000,7860,60,616125,4865919890,0
90418,7920,7980,7860,8000,7860,61,627847,4958758130,0
90418,7920,7980,7860,8000,7860,62,628754,4965941570,0
90423,7920,7980,7860,8000,7860,63,638754,5045141570,0
90426,7920,7980,7860,8000,7860,64,640985,5062811090,0
90426,7920,7980,7860,8000,7860,65,643754,5084741570,0
90430,7910,7980,7860,8000,7860,66,669798,5290749610,0
90435,7910,7970,7860,8000,7860,67,843754,6666741570,0
90435,7910,7970,7860,8000,7860,68,844394,6671803970,0
90435,7910,7970,7860,8000,7860,69,849394,6711353970,0
90442,7910,7970,7860,8000,7860,70,854394,6750903970,0
90443,7910,7970,7860,8000,7860,71,869798,6872749610,0
90443,7910,7970,7860,8000,7860,72,942445,7447387380,0
90450,7930,7970,7860,8000,7860,73,944957,7467307540,0
90519,7930,7970,7860,8000,7860,74,947192,7485031090,0
90519,7930,7970,7860,8000,7860,75,948037,7491731940,0
90523,7910,7970,7860,8000,7860,76,958936,7577943030,0
90542,7980,7970,7860,8000,7860,77,968169,7651622370,0
90552,8000,7970,7860,8000,7860,78,972247,7684246370,0
90610,8000,7970,7860,8000,7860,79,974247,7700246370,0
90625,7990,7970,7860,8000,7860,80,975027,7706478570,0
90630,8000,7970,7860,8000,7860,81,977027,7722478570,0
90632,8000,7970,7860,8000,7860,82,983531,7774510570,0
90632,8000,7970,7860,8000,7860,83,989527,7822478570,0
90635,8000,7970,7860,8000,7860,84,999527,7902478570,0
90636,8000,7970,7860,8000,7860,85,1009527,7982478570,0
90636,8000,7970,7860,8000,7860,86,1010592,7990998570,0
90636,8000,7970,7860,8000,7860,87,1012078,8002886570,0
90636,8000,7970,7860,8000,7860,88,1017078,8042886570,0
90636,8000,7970,7860,8000,7860,89,1019278,8060486570,0
90649,8000,7970,7860,8000,7860,90,1020528,8070486570,0
90655,8070,7970,7860,8070,7860,91,1027528,8126976570,0
90733,8070,7970,7860,8070,7860,92,1027974,8130575790,0
90749,8090,7970,7860,8090,7860,93,1028143,8131943000,0
90749,8090,7970,7860,8090,7860,94,1029143,8140033000,0
90749,8090,7970,7860,8090,7860,95,1031474,8158890790,0
90802,8070,7970,7860,8090,7860,96,1034028,8179501570,0
90802,8070,7970,7860,8090,7860,97,1035225,8189161360,0
90835,8090,7970,7860,8090,7860,98,1035394,8190528570,0
90835,8090,7970,7860,8090,7860,99,1038394,8214798570,0
90835,8090,7970,7860,8090,7860,100,1112952,8817972790,0
90840,8080,7970,7860,8090,7860,101,1115998,8842584470,0
90852,8090,7970,7860,8090,7860,102,1116980,8850528850,0
90857,8090,7970,7860,8090,7860,103,1118980,8866708850,0
90858,8080,7970,7860,8090,7860,104,1119670,8872284050,0
