date,open,high,low,last,close,vol,count,value
20151012,367.93,368,368,367.93,367.93,7200000,15791,32400000000.00
20151013,386.33,386,384,386.33,386.25,5165460,10581,24403952598.00
20151014,389.27,396,383,383.47,389.76,2731938,5544,13024298791.00
20151017,382.57,392,374,384.28,386.25,1713277,2376,8093549391.00
20151018,388.37,388,373,373.00,376.27,1564173,1137,7197664230.00
20151019,372.92,384,372,374.47,377.17,469212,462,2164560060.00
20151020,375.29,383,371,373.65,375.45,313808,286,1440952976.00
20151021,368.75,376,367,370.30,370.14,451798,294,2045307771.00
20151025,365.81,370,361,364.66,365.81,141658,157,633844763.00
20151026,359.75,367,352,352.40,356.57,302308,226,1318265447.00
20151027,357.22,357,340,345.04,345.28,442611,325,1868930146.00
20151028,343.08,343,332,336.94,334.24,512969,292,2096942036.00
20151031,331.22,351,327,350.92,335.88,3512194,1141,14429806891.00
20151101,352.64,353,352,352.64,352.64,1231632,367,5311501644.00
20151102,355.58,357,345,347.49,350.84,503392,242,2160192923.00
20151103,351.17,357,345,353.30,353.21,835898,274,3611068896.00
20151104,356.24,356,346,346.26,354.19,427560,137,1852037683.00
20151107,353.05,366,346,353.38,357.87,894219,489,3913709666.00
20151108,364.82,365,356,357.30,361.72,754776,364,3339247646.00
20151109,353.46,360,350,354.36,353.70,320409,222,1385984246.00
20151110,359.35,360,352,353.79,358.94,405683,212,1781023078.00
20151111,353.79,360,348,349.13,353.95,952559,399,4123474409.00
20151114,348.39,356,348,351.82,354.85,519650,264,2255454341.00
20151115,356.48,366,352,360.57,360.74,1450405,631,6398646067.00
20151116,366.13,379,362,367.93,371.69,1431232,771,6507027509.00
20151117,371.69,378,360,365.64,371.45,818453,394,3718605036.00
20151118,373.65,375,365,367.93,369.89,398185,221,1801231181.00
20151121,361.39,368,357,359.84,362.45,304751,183,1350926932.00
20151122,372.02,373,355,363.84,369.32,540248,235,2440355238.00
20151123,367.93,368,358,358.53,359.51,272904,126,1199923766.00
20151124,363.03,367,357,357.14,363.76,612413,299,2724366259.00
20151125,361.39,363,353,360.41,357.55,144074,81,630088988.00
20151128,358.94,364,356,359.75,361.31,343397,195,1517361104.00
20151129,363.68,370,357,358.53,362.29,283677,275,1256978304.00
20151130,361.39,364,356,358.12,360.08,173860,112,765714897.00
