date,open,high,low,last,close,vol,count,value
20010421,498.18,498,498,498.18,498.18,1980,5,19657440.00
20010506,498.53,499,499,498.58,498.58,540,3,5365080.00
20010515,523.47,523,523,523.47,523.47,1000,2,10432000.00
20010520,649.82,650,650,649.82,649.82,1000,1,12950000.00
20010527,656.30,656,656,656.30,656.30,1000,1,13079000.00
20010529,662.82,663,663,662.82,662.82,1000,1,13209000.00
20010606,669.44,669,669,669.44,669.44,2761,8,36834501.00
20010609,669.44,669,669,669.44,669.44,1024,1,13661184.00
20010616,669.44,669,669,669.44,669.44,1000,1,13341000.00
20010618,669.90,670,670,669.90,669.90,500,1,6675000.00
20010626,669.90,675,670,674.91,674.91,4424,2,59452800.00
20010716,552.02,552,552,552.02,552.02,1000,2,11001000.00
20010721,579.62,580,580,579.62,579.62,1000,6,11551000.00
20010725,608.58,609,609,608.58,608.58,1000,1,12128000.00
20010811,638.98,639,639,638.98,638.98,600,1,7640400.00
20010812,638.98,639,639,639.04,639.04,1040,4,13243600.00
20010821,639.54,640,640,639.54,639.54,760,2,9686200.00
20010902,670.95,671,671,670.95,670.95,1500,1,20056500.00
20010903,704.47,704,704,704.47,704.47,1500,2,21058500.00
20010908,739.64,740,740,739.64,739.64,2000,1,29480000.00
20010909,758.11,758,758,758.11,758.11,2400,5,36259200.00
20010915,739.19,739,739,739.19,739.19,2000,2,29462000.00
20010917,757.66,758,758,757.66,757.66,1000,1,15099000.00
20010918,738.74,803,739,752.69,752.69,2995724,4,47923194000.00
20010926,752.69,753,753,752.69,752.69,500,1,7500000.00
20011007,752.69,753,753,752.69,752.69,400,1,6000000.00
20011008,752.64,753,753,752.64,752.64,1000,1,14999000.00
20011014,752.69,753,753,752.69,752.69,600,1,9000000.00
20011017,755.20,755,755,755.20,755.20,499,1,7509950.00
20011022,755.25,755,755,755.25,755.25,100,1,1505100.00
20011114,755.40,755,755,755.35,755.35,270,2,4064343.00
20011119,755.35,755,755,755.35,755.35,400,2,6021200.00
20011209,762.73,774,763,774.22,774.22,3699,4,56591200.00
20011226,793.54,794,794,793.54,793.54,1000,1,15814000.00
20011229,813.36,813,813,813.36,813.36,2950,5,47816550.00
20011230,833.68,834,834,833.68,833.68,2000,1,33228000.00
20011231,854.51,855,855,854.51,854.51,12000,4,204348000.00
20020122,863.04,863,863,863.04,863.04,2300,1,39557700.00
20020126,871.62,872,872,871.62,871.62,2000,4,34740000.00
20020127,880.30,880,880,880.30,880.30,2000,1,35086000.00
20020129,889.08,889,889,889.08,889.08,2300,1,40751400.00
20020202,889.08,889,889,889.08,889.08,1337,1,23688966.00
20020204,890.68,891,891,890.68,890.68,1999,1,35482250.00
20020205,899.57,900,900,899.57,899.57,303500,4,5440844500.00
20020206,899.57,900,900,899.57,899.57,2200,2,39439400.00
20020209,899.57,900,900,899.57,899.57,2450,5,43921150.00
20020212,899.57,900,900,899.57,899.57,500,1,8963500.00
20020312,899.57,900,900,899.57,899.57,250050,3,4482646350.00
20020313,922.05,922,900,899.57,899.57,4000,2,72604000.00
20020326,910.76,911,911,910.76,910.76,4250,2,77137500.00
20020331,928.32,928,928,928.32,928.32,3000,1,55500000.00
20020403,937.60,938,938,937.60,937.60,5000,1,93425000.00
