date,open,high,low,last,close,vol,count,value
20010408,675.42,675,675,675.42,675.42,2100,2,24009300.00
20010423,694.15,694,694,694.15,694.15,1000,1,11750000.00
20010501,709.09,709,709,709.27,709.27,2000,8,24009000.00
20010515,738.45,738,738,738.45,738.45,2300,5,28750000.00
20010516,738.45,738,738,738.45,738.45,320,2,4000000.00
20010519,738.45,738,738,738.45,738.45,584,4,7300000.00
20010625,577.77,578,578,577.77,577.77,1000,1,9780000.00
20010807,606.65,607,607,606.65,606.65,2000,3,20538000.00
20010808,636.96,637,637,636.96,636.96,5624,3,60637968.00
20020126,668.80,669,669,668.80,668.80,1000,1,11321000.00
20020803,366.27,532,366,532.28,532.28,11330,4,72995300.00
20020806,558.86,559,559,558.86,558.86,95000,15,898700000.00
20020810,586.81,587,587,586.81,586.81,122052,29,1212342516.00
20020818,616.11,616,616,616.11,616.11,2000,4,20858000.00
20020819,646.89,647,647,646.89,646.89,2000,4,21900000.00
20020827,679.20,679,679,679.20,679.20,547500,91,6294607500.00
20020831,713.11,713,713,713.11,713.11,967000,144,11672657000.00
20020907,748.73,749,749,748.73,748.73,3850,11,48794900.00
20020908,786.13,786,786,786.13,786.13,350600,38,4665434200.00
20020909,823.35,825,768,767.99,767.99,49650,41,682339100.00
20020910,797.53,806,798,806.39,806.39,9007,25,122157000.00
20020911,806.39,806,806,806.39,806.39,1500,1,20475000.00
20020915,806.39,806,806,806.39,806.39,2098,7,28637700.00
20020916,806.98,827,807,827.07,827.07,3770,5,52712000.00
20020917,833.45,833,833,833.45,833.45,230,1,3244840.00
20020918,875.10,875,875,875.10,875.10,5600,2,82952800.00
20020923,918.81,919,919,918.81,918.81,1100,3,17108300.00
20020924,964.72,965,965,964.72,964.72,1600,5,26128000.00
20020925,964.72,1013,965,1012.92,1012.92,31010,33,530958516.00
20020928,1012.92,1013,1013,1012.92,1012.92,820,3,14059720.00
20020929,1063.37,1063,1063,1063.37,1063.37,1700,3,30590000.00
20020930,1092.91,1117,1063,1116.54,1116.54,4776,27,86514560.00
20021001,1122.45,1122,1093,1092.91,1092.91,2780,5,52745000.00
20021002,1122.39,1122,1093,1092.91,1092.91,1818,14,33757750.00
20021006,1038.27,1038,1038,1038.27,1038.27,1100,1,19332500.00
20021007,1037.97,1038,1038,1038.27,1038.27,1600,2,28116500.00
20021008,1038.27,1038,1038,1038.27,1038.27,230,1,4042250.00
20021012,1032.60,1033,1033,1032.60,1032.60,210,4,3670590.00
20021013,1006.78,1007,1007,1006.78,1006.78,1500,1,25563000.00
20021014,956.45,956,956,956.45,956.45,3000,3,48570000.00
20021015,956.39,956,956,956.45,956.45,3200,2,51804831.00
20021019,908.65,909,909,908.65,908.65,3340,7,51372540.00
20021021,954.08,954,907,906.82,906.82,4500,8,71075000.00
20021023,906.82,907,907,906.82,906.82,100,1,1535000.00
20021026,907.94,908,908,907.94,907.94,352,1,5409888.00
20021029,910.48,953,910,953.31,953.31,3700,8,59344400.00
20021103,968.85,1001,969,1000.93,1000.93,4610,3,77292730.00
20021106,1004.65,1005,1005,1004.65,1004.65,704,1,11972224.00
20021109,1004.71,1005,1004,1004.30,1004.30,10604,7,180344776.00
20021110,1004.36,1004,1004,1004.30,1004.30,4600,5,78201080.00
20021111,1004.30,1005,1004,1004.77,1004.77,3095,4,52624400.00
20021112,1004.83,1005,1005,1004.83,1004.83,2704,3,45992336.00
20021113,1004.89,1010,1005,1010.21,1010.21,8250,3,140805000.00
20021116,1009.61,1010,1010,1009.61,1009.61,3500,2,59815000.00
20021117,1004.30,1004,1004,1004.30,1004.30,1590,3,27030000.00
20021118,1003.12,1003,1003,1003.12,1003.12,3000,1,50940000.00
20021120,992.48,992,990,989.53,989.53,18102,5,303996100.00
20021124,980.67,981,981,980.67,980.67,3000,1,49800000.00
20021130,968.85,969,969,968.85,968.85,3000,1,49200000.00
20021203,968.79,969,969,968.85,968.85,1050,3,17219950.00
20021204,968.79,969,969,968.79,968.79,2000,1,32798000.00
20021207,968.79,969,968,968.26,968.26,2000,2,32789000.00
20021211,959.99,960,960,959.99,959.99,1000,1,16250000.00
20021217,951.13,951,951,951.13,951.13,1000,1,16100000.00
20021221,989.53,990,990,989.53,989.53,3650,1,61137500.00
20021222,989.53,990,990,989.53,989.53,1350,1,22612500.00
20021224,974.76,981,975,980.73,980.73,4304,7,71377400.00
20021229,980.67,981,981,980.67,980.67,300,1,4980000.00
20021231,962.94,963,963,962.94,962.94,1000,1,16300000.00
20030104,962.88,963,963,962.88,962.88,2000,1,32598000.00
20030105,962.88,963,963,962.88,962.88,1000,1,16299000.00
20030107,954.08,954,945,945.22,945.22,2424,3,38997600.00
20030111,945.22,945,945,945.22,945.22,6920,3,110720000.00
