date,open,high,low,last,close,vol,count,value
20150315,1058.99,1059,1059,1058.99,1058.99,17995000,20212,80977500000.00
20150316,1111.94,1112,1112,1111.94,1111.94,524171,146,2476707975.00
20150317,1167.48,1167,1167,1167.48,1167.48,572258,252,2838971938.00
20150318,1225.84,1226,1226,1225.84,1225.84,200322,389,1043477298.00
20150325,1287.03,1287,1287,1287.03,1287.03,185325,405,1013542425.00
20150328,1351.27,1351,1333,1351.27,1351.04,9149239,12928,52527632684.00
20150329,1375.75,1411,1323,1324.92,1366.80,11321450,11572,65756721705.00
20150330,1317.62,1346,1299,1298.56,1311.03,1441879,1610,8032237019.00
20150331,1247.49,1316,1246,1248.67,1264.67,2484144,2694,13348796854.00
20150404,1327.74,1328,1328,1327.74,1327.74,179412,127,1012242504.00
20150405,1394.10,1394,1299,1302.79,1341.62,4691294,3459,26745870849.00
20150406,1294.32,1295,1275,1274.55,1277.61,1407815,1216,7642779234.00
20150407,1234.31,1266,1215,1230.31,1229.84,3690587,7771,19288782285.00
20150408,1235.96,1290,1236,1243.49,1251.02,1058624,1332,5627685722.00
20150411,1247.26,1247,1225,1235.49,1236.90,1389064,990,7301100474.00
20150412,1238.08,1242,1180,1199.95,1219.72,1228713,645,6367930695.00
20150413,1183.95,1235,1184,1215.96,1199.48,284614,307,1450815613.00
20150414,1232.90,1259,1224,1259.26,1253.14,875186,547,4660305086.00
20150415,1265.85,1313,1250,1282.79,1281.14,1429420,834,7781648397.00
20150418,1252.20,1278,1252,1257.85,1263.02,393082,335,2109586856.00
20150419,1266.08,1308,1254,1287.03,1293.85,436471,343,2399755647.00
20150420,1259.73,1300,1236,1259.02,1265.38,372746,201,2004166080.00
20150421,1251.96,1271,1224,1247.26,1237.84,189936,135,999128676.00
20150422,1269.38,1280,1243,1247.26,1259.96,285061,218,1526136321.00
20150425,1268.44,1278,1250,1268.44,1263.73,273133,207,1466588794.00
20150426,1270.79,1271,1252,1254.79,1256.67,113719,106,607229525.00
20150427,1269.38,1269,1224,1235.49,1247.73,289073,167,1532780039.00
20150428,1242.55,1271,1224,1235.49,1242.08,321820,376,1698546430.00
20150429,1224.66,1247,1225,1237.84,1242.31,131662,121,695046478.00
20150503,1226.31,1270,1224,1223.72,1232.90,217120,119,1137584706.00
20150504,1224.19,1224,1189,1197.13,1213.60,345960,144,1784256335.00
20150505,1188.66,1247,1189,1200.19,1210.54,195233,142,1004335710.00
20150506,1188.42,1222,1177,1209.13,1197.84,287801,179,1465028656.00
20150509,1209.37,1235,1181,1199.95,1219.02,737236,324,3818858090.00
20150510,1218.31,1257,1181,1247.26,1230.08,776271,1339,4057838100.00
20150513,1277.61,1278,1240,1243.49,1267.02,514933,206,2772495618.00
20150517,1223.96,1235,1204,1203.72,1218.08,352429,156,1824182456.00
20150518,1223.72,1247,1191,1193.37,1223.72,354524,164,1843574237.00
20150519,1223.72,1224,1192,1223.25,1218.31,141903,168,734634180.00
20150520,1221.37,1237,1196,1222.31,1216.90,128614,95,665034802.00
20150523,1223.72,1230,1195,1204.19,1221.37,366009,152,1899631582.00
20150524,1223.72,1233,1223,1228.43,1225.37,451545,177,2351001417.00
20150525,1226.78,1265,1224,1246.79,1237.14,152339,104,800907141.00
20150526,1261.14,1261,1224,1240.20,1224.19,183832,75,956264608.00
20150527,1223.96,1266,1224,1223.96,1241.14,361862,156,1908379909.00
20150530,1265.61,1271,1224,1235.49,1260.91,460956,173,2469814004.00
20150531,1264.91,1283,1227,1235.96,1255.96,866832,583,4625980993.00
20150623,1298.30,1326,1276,1323.22,1312.77,521408,282,2554175083.00
20150624,1334.48,1340,1287,1290.00,1318.94,429074,145,2111981556.00
